MRI Path | Mode | Threshold,mode,threshold,Jaccard Index,Dice,Precision,Recall,Mean of Mean,Std of Mean,Mean of Std,Std of Std,Mean of Pval,Std of Pval
"77.nii.gz | mode: stat, threshold: 0.05",stat,0.05,2.657108162894927e-12,2.657108162894927e-12,1.0,2.6571082573784155e-12,0.48517102003097534,0.003814046736806631,0.07044216990470886,0.025208057835698128,-0.8863154649734497,0.19739682972431183
"60.nii.gz | mode: stat, threshold: 0.05",stat,0.05,2.673954082853339e-12,2.673954082853339e-12,1.0,2.6739541570536263e-12,0.4852202236652374,0.00901874341070652,0.07204512506723404,0.023642025887966156,-0.8239813446998596,0.38191235065460205
"91.nii.gz | mode: stat, threshold: 0.05",stat,0.05,6.615725815963237e-05,0.00013230576097043365,0.006234691943973303,6.686232518404722e-05,0.48510876297950745,0.009611831977963448,0.0764198899269104,0.028025472536683083,-0.8558916449546814,0.38364219665527344
"76.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.00016528702935306898,0.00033051942476018616,0.010263930074870586,0.0001679640990914777,0.4850485324859619,0.009817017242312431,0.07407694309949875,0.022791363298892975,-0.8870809078216553,0.3852778375148773
"85.nii.gz | mode: stat, threshold: 0.05",stat,0.05,2.7682733725244207e-12,2.7682733725244207e-12,1.0,2.7682734576872647e-12,0.4852214753627777,0.00959442276507616,0.06846629083156586,0.02119297720491886,-0.8434784412384033,0.34871241450309753
"88.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.004236758517676563,0.00843776824459898,0.3557727038860321,0.004269513767212629,0.48514634370803833,0.009983070194721222,0.07103047519922256,0.02003984898328781,-0.8742712140083313,0.35927340388298035
"89.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.00015135293260225375,0.0003026600511142224,0.004475385881960392,0.00015662616351619363,0.4850384593009949,0.008770165033638477,0.07239894568920135,0.01966092362999916,-0.9017992615699768,0.3504598140716553
"62.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.0009662364456884885,0.0019306074666431735,0.2550361156463623,0.0009689712314866483,0.4851619303226471,0.0075445580296218395,0.07315428555011749,0.02705063670873642,-0.8673047423362732,0.2608802914619446
"80.nii.gz | mode: stat, threshold: 0.05",stat,0.05,2.407098050726204e-12,2.407098050726204e-12,1.0,2.4070979584567276e-12,0.4853920638561249,0.00516266655176878,0.07529396563768387,0.026207344606518745,-0.8074104189872742,0.23535306751728058
"79.nii.gz | mode: stat, threshold: 0.05",stat,0.05,1.4489288793238588e-12,1.4489288793238588e-12,1.0,1.4489288675118006e-12,0.48515334725379944,0.01044386625289917,0.06875551491975784,0.014137929305434227,-0.848214328289032,0.4693928062915802
"69.nii.gz | mode: stat, threshold: 0.05",stat,0.05,1.630257580671173e-11,1.630257580671173e-11,2.734481807653566e-10,1.7336130794798343e-11,0.48501378297805786,0.010728487744927406,0.07008031755685806,0.020800955593585968,-0.9372787475585938,0.40764501690864563
"74.nii.gz | mode: stat, threshold: 0.05",stat,0.05,8.958004873074406e-12,8.958004873074406e-12,1.0,8.958004477088721e-12,0.48522159457206726,0.006400464102625847,0.0716455727815628,0.022081313654780388,-0.8467144966125488,0.3306342363357544
"81.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.00032443259761627796,0.0006486547484737503,0.03732035309076309,0.0003271705936640501,0.48488864302635193,0.008628679439425468,0.06514302641153336,0.015783313661813736,-0.9830676913261414,0.3648444712162018
